property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,supertech araville,sector 79,1.35,6940.0,3.0,3.0,3,4  ,relativelt new,2161.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej,sector 33,0.95,6859.0,2.0,2.0,3,3  ,under construction,1253.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,shree vardhman flora,sector 90,0.7,5384.0,2.0,2.0,3,13  ,new Property,1176.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,sobha city,sector 108,3.95,16859.0,4.0,5.0,3,25  ,undefined,2343.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,senate court,sector 62,0.9,14084.0,1.0,1.0,No,0,undefined,639.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,2.0,2.0,2,0,under construction,1017.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,central park flower valley,sector-33 sohna,2.2,10476.0,3.0,3.0,3,12  ,new Property,1900.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,smart world gems,sector 89,1.01,9156.0,2.0,2.0,2,4  ,under construction,1226.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,bestech altura,sector 79,1.85,8604.0,3.0,4.0,3,11  ,new Property,1946.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,smart world gems,sector 89,0.86,7796.0,2.0,3.0,3,4  ,under construction,998.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,emaar imperial gardens,sector 102,1.85,9135.0,3.0,3.0,3,0,relativelt new,2250.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,la vida by tata housing,sector 113,2.85,12855.0,3.0,3.0,3,10  ,new Property,2006.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,the serenas,sector 36,0.42,7910.0,2.0,2.0,1,3  ,undefined,590.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m golfestate,sector 65,6.15,18331.0,3.0,4.0,2,20  ,undefined,3355.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,central park resort belgravia residences,sector 48,6.25,24300.0,3.0,5.0,3,5  ,moderately old,3200.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,apex builders,sector 37c,0.42,5600.0,2.0,2.0,2,4  ,relativelt new,833.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej habitat,sector 3,1.35,12784.0,2.0,2.0,No,4  ,undefined,1056.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ompee k s residency,new palam vihar,1.6,2993.0,2.0,2.0,2,1  ,relativelt new,73.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,bhawna cghs,sector 43,3.25,10156.0,4.0,4.0,3,12  ,moderately old,3115.0,0.0,0.0,0.0,1.0,0.0,0.0
flat,adani aangan arcade,sector 88a,0.45,7194.0,2.0,2.0,1,8  ,new Property,695.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,sare green parc,sector 92,0.85,6538.0,3.0,2.0,2,20  ,undefined,1300.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,shree vardhman flora,sector 90,0.75,5769.0,2.0,2.0,3,8  ,undefined,1444.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,supertech hues,sector 68,0.82,6950.0,2.0,2.0,3,21  ,under construction,1068.0,0.0,0.0,0.0,0.0,1.0,2.0
flat,chintels paradiso,sector 109,1.8,8866.0,3.0,3.0,2,0,moderately old,1910.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,breez global hill view,sohna,0.3,5403.0,2.0,2.0,2,6  ,new Property,605.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ild greens,sector 37c,0.78,5714.0,2.0,2.0,3,1  ,moderately old,1068.1,0.0,0.0,0.0,0.0,0.0,0.0
flat,ansal sushant lok ci,sector 43,2.0,15151.0,3.0,3.0,2,1  ,old property,1467.0,0.0,1.0,0.0,0.0,0.0,1.0
flat,ashiana mulberry,sohna,0.74,6200.0,2.0,2.0,3,12  ,new Property,1344.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej meridien,sector 106,3.2,16000.0,3.0,3.0,3,6  ,under construction,2224.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,mapsko casa bella,sector 82,1.3,6378.0,4.0,4.0,3,1  ,relativelt new,1774.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,pooja apartment,ashok vihar phase 3 extension,0.25,3571.0,2.0,2.0,2,2  ,relativelt new,778.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature global park,sohna,0.95,7846.0,3.0,2.0,3,1  ,relativelt new,1210.73,0.0,0.0,0.0,0.0,0.0,2.0
flat,dlf new town heights,sector 90,1.99,7297.0,4.0,4.0,3,9  ,relativelt new,3030.0,0.0,1.0,0.0,1.0,0.0,0.0
flat,paras dews,sector 106,1.05,7581.0,2.0,2.0,2,5  ,new Property,1539.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej air,sector 85,1.83,10005.0,3.0,3.0,3,18  ,under construction,2032.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,dlf the primus,sector 82a,2.25,10714.0,3.0,3.0,3,29  ,relativelt new,2333.0,0.0,1.0,0.0,0.0,0.0,1.0
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,3.0,3.0,3,3  ,relativelt new,1650.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,dlf regency park,dlf phase 4,1.6,14545.0,2.0,2.0,2,3  ,relativelt new,1222.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,supertech araville,sector 79,0.83,5424.0,2.0,2.0,3,5  ,new Property,1700.0,1.0,0.0,0.0,0.0,0.0,1.0
flat,signature global park,sohna,0.83,7410.0,3.0,2.0,2,1  ,new Property,1244.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,maxworth city residences,sector 10a,0.8,6400.0,2.0,3.0,2,9  ,new Property,1389.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,deepak minda,sector 1a imt manesar,1.25,4715.0,4.0,4.0,3,6  ,moderately old,2946.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,shree shyam residency,block a surya vihar,0.23,5000.0,1.0,1.0,1,2  ,relativelt new,511.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,pivotal devaan,sector 84,0.3,6666.0,1.0,1.0,1,14  ,new Property,500.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,unitech the residences,sector 33,1.55,9872.0,3.0,4.0,1,1  ,relativelt new,1421.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,chd avenue,sector 71,0.79,6594.0,2.0,2.0,2,8  ,relativelt new,1084.0,0.0,0.0,0.0,0.0,1.0,2.0
flat,"gokuldham society, bahadurgarh",sector-7 hous,0.5,5555.0,2.0,2.0,2,2  ,moderately old,824.0,0.0,0.0,1.0,0.0,0.0,2.0
flat,silverglades the melia,sohna,1.01,7000.0,2.0,2.0,3,12  ,under construction,1184.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,4.0,5.0,3,4  ,moderately old,1717.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,umang winter hills,sector 77,0.99,7857.0,2.0,2.0,2,1  ,relativelt new,1126.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ramprastha skyz,sector 37d,1.1,6376.0,3.0,3.0,3,7  ,under construction,1561.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,4s aradhya homes,sector 67a,1.9,8863.0,4.0,4.0,3,3  ,new Property,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,ild greens,sector 37c,1.0,4320.0,3.0,3.0,3,5  ,under construction,1697.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,bptp freedom park life,sector 57,2.5,11111.0,3.0,3.0,3,9  ,moderately old,2036.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej habitat,sector 3,1.1,10410.0,2.0,2.0,2,14  ,under construction,956.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ramsons kshitij,sector 95,0.29,5178.0,2.0,2.0,2,14  ,relativelt new,507.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,sidhartha ncr one,sector 95,0.55,5556.0,2.0,2.0,3,15  ,undefined,990.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,raheja sampada,sector 92,0.65,4744.0,3.0,2.0,3,6  ,relativelt new,1240.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature the serenas,sohna,0.5,9406.0,2.0,2.0,2,6  ,new Property,591.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,pareena laxmi apartments,sector 99a,0.32,5521.0,2.0,2.0,1,2  ,new Property,577.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,satya the hermitage,sector 103,0.93,6404.0,2.0,3.0,3,3  ,relativelt new,1613.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,smart world gems,sector 89,1.2,8432.0,3.0,3.0,2,2  ,new Property,1581.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,gls arawali homes,sohna,0.3,4687.0,2.0,2.0,2,4  ,relativelt new,711.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature global park,sohna,0.56,6812.0,2.0,2.0,3,3  ,new Property,913.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,bestech park view city,sector 49,2.7,12505.0,3.0,4.0,3,6  ,moderately old,2159.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,shree vardhman flora,sector 90,1.0,5128.0,3.0,4.0,3,8  ,new Property,1765.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,3.0,2.0,2,2  ,old property,1300.0,0.0,0.0,0.0,0.0,0.0,1.0
flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,No,4  ,undefined,1423.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,emaar mgf palm terraces,sector 66,4.5,10599.0,5.0,5.0,3,11  ,new Property,3321.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,anamika enclave,sector 15 part 1,0.64,6500.0,2.0,2.0,1,1  ,new Property,905.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,hcbs sports ville,sohna,0.28,3768.0,2.0,2.0,1,11  ,relativelt new,743.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,puri the aravallis,sector 61,3.87,17200.0,3.0,4.0,3,21  ,under construction,2250.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,brisk lumbini terrace homes,sector 109,1.38,6338.0,3.0,3.0,1,4  ,moderately old,2419.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,huda ashok vihar phase,laxman vihar,0.43,6615.0,2.0,2.0,1,2  ,relativelt new,722.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,my home,new palam vihar,0.28,3166.0,2.0,1.0,1,2  ,relativelt new,1000.0,0.0,0.0,0.0,0.0,1.0,2.0
flat,signature global city,sector 37d,1.1,9838.0,2.0,2.0,2,4  ,undefined,1242.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m heights,sector 65,2.0,13957.0,2.0,2.0,2,32  ,undefined,1433.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature global park,sohna,0.9,8035.0,3.0,2.0,2,2  ,under construction,1014.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature global park,sohna,0.9,8036.0,3.0,2.0,No,2  ,under construction,1120.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej nature plus,sector-33 sohna,1.75,8768.0,3.0,3.0,No,2  ,undefined,1996.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,supertech hues,sector 68,0.93,8611.0,2.0,2.0,2,11  ,undefined,1200.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,dlf new town heights,sector 90,1.8,6600.0,4.0,4.0,3,23  ,moderately old,2468.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,central park flower valley aqua front towers,sector-33 sohna,2.1,11738.0,3.0,3.0,2,6  ,under construction,1619.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ambience creacions,sector 22,2.0,14492.0,2.0,2.0,2,9  ,relativelt new,1533.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature global city 63a,sector 63a,2.0,12800.0,3.0,3.0,2,1  ,under construction,1540.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej oasis,sector 88a,1.29,7800.0,3.0,3.0,3,5  ,new Property,1642.0,1.0,0.0,0.0,0.0,1.0,2.0
flat,m3m skycity,sector 65,2.85,15590.0,3.0,3.0,3,43  ,under construction,1828.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,supertech araville,sector 79,1.1,5641.0,3.0,3.0,3,1  ,relativelt new,2167.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,smart world orchard,sector 61,1.65,13750.0,2.0,2.0,2,1  ,under construction,1333.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,hcbs sports ville,sohna,0.24,7407.0,1.0,1.0,2,1  ,new Property,360.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,emaar palm premier,sector 77,2.1,10500.0,3.0,4.0,3,11  ,new Property,1600.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,godrej nature plus,sector-33 sohna,1.9,9849.0,3.0,3.0,3,14  ,new Property,2143.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,godrej aria,sector 79,1.1,11482.0,2.0,2.0,3,9  ,new Property,81.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ramsons kshitij,sector 95,0.32,4500.0,2.0,2.0,1,8  ,relativelt new,563.0,0.0,0.0,0.0,0.0,1.0,1.0
flat,conscient one,sector 109,1.7,17617.0,1.0,1.0,2,9  ,undefined,965.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,pareena laxmi apartments,sector 99a,0.32,6106.0,2.0,2.0,2,2  ,new Property,473.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,pyramid elite,sector 86,0.45,7739.0,2.0,2.0,1,4  ,under construction,646.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,raheja revanta,sector 78,1.2,10018.0,1.0,2.0,2,32  ,under construction,823.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m skycity,sector 65,2.1,16030.0,2.0,2.0,2,43  ,new Property,1186.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,not applicable,laxman vihar,0.42,5600.0,2.0,2.0,1,3  ,relativelt new,833.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,godrej nature plus,sector-33 sohna,1.55,9955.0,3.0,2.0,3,8  ,new Property,1730.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ramprastha city,dwarka expressway,1.3,9027.0,3.0,3.0,2,3  ,under construction,1303.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,smartworld 1dxp,sector 113,2.75,10589.0,4.0,4.0,3,20  ,under construction,2886.0,1.0,1.0,0.0,1.0,0.0,1.0
flat,ansal housing highland park,sector 103,1.25,6443.0,3.0,3.0,3,2  ,new Property,1464.0,0.0,0.0,0.0,1.0,0.0,2.0
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3.0,2.0,2,-1,undefined,630.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,breez global heights,sohna,0.4,6420.0,2.0,2.0,1,4  ,new Property,615.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,trisara our homes 3,sohna,0.34,5405.0,2.0,2.0,1,0,new Property,699.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,3,3  ,new Property,1288.0,1.0,0.0,0.0,0.0,1.0,2.0
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3.0,3.0,3,4  ,relativelt new,1310.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,ramprastha city,dwarka expressway,1.3,9285.0,3.0,3.0,2,3  ,under construction,1267.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,pareena coban residences,sector 99a,1.6,8000.0,3.0,3.0,3,6  ,under construction,1810.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,la vida by tata housing,sector 113,1.5,11755.0,2.0,2.0,2,13  ,new Property,1418.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,la vida by tata housing,sector 113,1.5,11755.0,2.0,2.0,2,13  ,new Property,1155.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej summit premia towers,sector 104,0.9,7149.0,2.0,2.0,No,16  ,undefined,1259.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ardee city,sector 52,1.5,9146.0,4.0,4.0,3,3  ,old property,1484.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m one key resiments,sector 67,0.8,13115.0,1.0,1.0,No,0,undefined,610.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ansal heights 86,sector 86,1.25,7396.0,3.0,2.0,1,11  ,new Property,1529.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,mvn athens,sohna,0.26,5397.0,2.0,2.0,1,2  ,relativelt new,535.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,signature the serenas,sohna,0.42,7909.0,2.0,2.0,1,12  ,new Property,590.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,sushant lok 1 builder floors,sushant lok phase 1,2.5,12920.0,3.0,3.0,2,2  ,new Property,195.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,umang monsoon breeze,sector 78,0.9,4615.0,3.0,3.0,2,1  ,moderately old,1900.0,0.0,1.0,0.0,1.0,0.0,2.0
flat,gls avenue 51,sector 92,0.42,7106.0,2.0,2.0,1,4  ,relativelt new,657.0,1.0,0.0,0.0,1.0,0.0,0.0
flat,signature global solera,sector 107,0.5,7692.0,2.0,2.0,1,11  ,relativelt new,494.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,supertech araville,sector 79,0.9,5883.0,2.0,2.0,3,5  ,relativelt new,1450.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,greenopolis,sector 89,1.3,6806.0,3.0,3.0,3,1  ,new Property,2122.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,central park flower valley aqua front towers,sector-33 sohna,1.7,9502.0,3.0,3.0,3,12  ,under construction,1619.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,sare homes,sector 92,1.25,6200.0,4.0,3.0,No,16  ,under construction,2040.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,vatika sovereign next sector-82 a gurgaon,sector 82a,2.91,6700.0,4.0,4.0,3,6  ,under construction,3902.0,1.0,1.0,1.0,0.0,0.0,0.0
flat,bhagwati sadan,sector 12a,1.15,5750.0,3.0,4.0,2,2  ,old property,2000.0,1.0,1.0,0.0,0.0,1.0,0.0
flat,smart world gems,sector 89,1.2,12526.0,3.0,3.0,3,3  ,under construction,1064.0,0.0,0.0,1.0,1.0,0.0,2.0
flat,micasa sec 68,sohna road,1.5,12244.0,2.0,2.0,3,11  ,new Property,1361.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,eldeco accolade,sohna,1.3,7424.0,3.0,3.0,3,10  ,relativelt new,1509.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,hero homes,sector 104,1.75,10361.0,3.0,3.0,3,2  ,under construction,1529.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,shyam sadan,ashok vihar phase 2,0.55,6470.0,2.0,2.0,1,4  ,relativelt new,778.0,1.0,0.0,0.0,0.0,0.0,0.0
flat,m3m heights,sector 65,2.5,13600.0,3.0,3.0,3,19  ,under construction,1654.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,hanumanta apartment,rajiv colony,0.43,5308.0,2.0,2.0,1,1  ,moderately old,733.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,supertech hilltown,sector 2,0.8,5556.0,3.0,2.0,3,8  ,undefined,1440.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ashiyara 2,garauli kalan,0.45,4500.0,3.0,3.0,2,18  ,under construction,905.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,raheja vedaanta,sector 108,0.7,4666.0,2.0,2.0,1,10  ,moderately old,1468.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,bptp terra,sector 37d,1.95,14444.0,4.0,3.0,3,7  ,under construction,1650.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,green court,sector 90,0.45,7188.0,2.0,2.0,1,2  ,new Property,696.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,m3m golf hills phase 1,sector 79,1.7,10828.0,3.0,2.0,3,10  ,undefined,1570.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,abhinav group housing society,bhawani enclave,1.1,6111.0,3.0,2.0,3,5  ,old property,2000.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2.0,2.0,1,10  ,relativelt new,578.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m heights,sector 65,2.8,15000.0,3.0,3.0,3,20  ,under construction,1867.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej nature plus,sector-33 sohna,1.45,15664.0,3.0,2.0,3,20  ,under construction,118.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,smart world orchard,sector 61,2.2,13496.0,3.0,3.0,2,3  ,under construction,1811.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ashiana anmol,sohna,0.9,9463.0,2.0,2.0,2,13  ,relativelt new,1105.0,0.0,0.0,0.0,0.0,0.0,1.0
flat,signature signum 95a,sector 95a,0.4,7782.0,2.0,2.0,2,3  ,new Property,571.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,umang winter hills,sector 77,1.35,7780.0,3.0,3.0,3,7  ,new Property,1451.0,0.0,0.0,1.0,0.0,0.0,0.0
flat,aardhya homesh,sector 67a,1.85,8043.0,4.0,4.0,No,4  ,undefined,2556.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,rof ananda,sector 95,0.25,6578.0,1.0,1.0,1,4  ,new Property,344.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,smart world gems,sector 89,0.88,7963.0,2.0,2.0,3,2  ,new Property,1228.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,assotech blith,sector 99,1.15,6593.0,2.0,2.0,2,2  ,new Property,1235.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,essel tower,iffco chowk,1.6,12185.0,3.0,3.0,3,4  ,moderately old,1188.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,raheja vanya,sector 99a,0.85,6789.0,2.0,2.0,2,3  ,new Property,1133.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,vatika inxt floors,sector 82a,0.75,7500.0,2.0,2.0,2,1  ,undefined,1000.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,palam vihar society,palam vihar,3.35,7444.0,4.0,4.0,3,2  ,new Property,5000.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,godrej oasis,sector 88a,1.5,8108.0,3.0,3.0,3,11  ,new Property,1674.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,dlf new town heights,sector 91,1.65,6345.0,4.0,4.0,3,11  ,moderately old,2139.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,dlf new town heights,sector 91,2.0,6967.0,4.0,4.0,3,16  ,moderately old,2468.0,1.0,1.0,0.0,1.0,0.0,2.0
flat,sonata group housing society sector 1 manesar,near sector 1 market,1.75,6250.0,4.0,4.0,3,8  ,new Property,3111.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,supertech hues,sector 68,0.9,7627.0,2.0,2.0,2,1  ,new Property,1311.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,krrish florence estate,sector 70,1.25,6703.0,3.0,3.0,3,18  ,under construction,1688.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,piedmont taksila heights,sector 37c,1.0,6506.0,3.0,3.0,3,8  ,relativelt new,1708.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,experion heartsong,dwarka expressway,1.08,6150.0,3.0,3.0,No,2.0,under construction,1758.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ss the leaf,sector 85,2.15,8928.0,3.0,5.0,3,2  ,new Property,2179.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m urbana,sector 67,1.0,12106.0,1.0,1.0,1,17  ,relativelt new,826.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,aipl zen residences,sector 70a,1.65,13074.0,2.0,2.0,3,23  ,new Property,1142.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,dlf regal gardens,sector 90,1.79,8081.0,4.0,3.0,3,10  ,moderately old,2461.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,godrej air,sector 85,1.8,13136.0,3.0,3.0,3,30  ,under construction,141.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,suncity vatsal valley,gwal pahari,1.45,10139.0,3.0,3.0,3,4  ,under construction,1430.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,shree shyam residency,block a surya vihar,0.22,4731.0,1.0,1.0,1,2  ,relativelt new,523.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,project krishna colony,sector 7,0.36,5142.0,2.0,2.0,1,0,relativelt new,700.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,mvn athens,sohna,0.25,4258.0,2.0,2.0,1,0,relativelt new,587.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m antalya hills,sector 79,1.15,7496.0,3.0,3.0,3,1  ,under construction,1200.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,central park flower valley,sohna road,1.65,17441.0,3.0,3.0,No,1  ,undefined,1051.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,m3m capital,sector 113,2.9,12619.0,4.0,4.0,3,11  ,under construction,2553.0,1.0,1.0,0.0,0.0,0.0,2.0
